price,bedrooms,living_area,kitchen_type,furnished,terrace_surface,garden_surface,plot_surface,frontage,swimming_pool,condition,property_type
300000,4,200,3,0,15,0,1580,4,0,5,1
449000,3,188,2,0,25,0,1089,2,0,2,4
820000,2,124,1,0,47,0,124,2,0,2,0
830000,3,210,1,0,20,0,210,4,0,2,2
265000,3,150,0,0,0,0,409,3,0,2,1
178500,2,70,2,0,0,0,70,2,0,2,0
213500,2,88,2,0,9,0,88,2,0,2,0
395000,2,86,2,0,12,0,86,2,0,1,0
975000,3,240,0,0,0,30,100,2,0,1,1
1195000,5,450,0,0,40,90,235,2,0,4,5
219000,3,175,2,0,50,0,295,3,0,2,1
695000,2,140,1,0,2,0,140,4,0,1,6
350000,2,60,2,1,0,0,60,3,0,2,6
285000,2,100,1,0,0,0,100,2,0,1,0
210000,4,159,0,0,15,0,180,3,0,2,9
199000,1,55,2,0,14,0,55,2,0,1,0
599000,4,180,0,0,0,46,157,2,0,2,1
435000,2,137,2,0,22,0,137,2,0,2,0
1250000,3,235,1,0,85,0,235,3,1,2,7
399000,4,250,2,0,0,0,1071,4,0,1,3
169000,1,48,3,0,10,0,48,4,0,5,16
280000,3,133,2,0,5,0,60,2,0,2,1
115000,1,58,0,0,10,0,58,2,0,3,12
550000,2,115,1,0,11,0,115,2,0,1,0
420000,4,220,2,0,30,800,1570,4,0,4,1
140000,2,130,3,0,0,100,308,3,0,2,9
510000,5,303,2,0,0,0,1524,2,0,1,1
1155000,3,344,0,0,0,0,344,2,0,1,0
195000,1,57,3,0,8,0,57,2,0,5,0
289000,3,190,2,0,8,100,210,2,0,2,1
109000,2,110,2,0,20,250,230,3,0,5,1
936000,3,146,1,0,95,278,146,2,0,1,6
4950000,4,188,1,0,0,350,188,3,0,1,6
295000,3,121,1,0,10,30,121,2,0,1,0
219000,3,90,2,0,0,0,90,2,0,2,0
210000,1,90,0,0,33,0,90,1,0,1,0
1775000,8,356,2,0,10,40,305,3,0,2,1
245000,2,96,2,0,8,0,96,4,0,2,0
445000,4,195,0,0,0,40,104,2,0,4,1
499000,3,120,2,0,25,0,120,2,0,2,0
1125000,7,297,2,0,0,0,22893,2,0,2,17
1000000,1,68,1,1,0,0,68,2,0,2,0
291000,1,92,1,0,30,0,92,4,0,2,0
209000,5,427,2,1,0,0,389,2,0,2,1
290000,2,90,2,0,0,0,1053,4,0,2,1
165000,2,75,2,0,0,0,75,2,0,2,0
349500,4,125,0,0,4,0,125,2,0,5,1
548000,3,450,2,0,0,0,541,4,0,2,1
235000,2,120,1,0,0,0,120,2,0,1,6
349000,4,149,2,0,0,0,473,3,0,2,1
590000,2,100,0,0,35,5350,5564,4,0,4,1
210000,4,149,3,0,0,0,400,2,0,5,1
350000,3,95,1,0,12,0,95,2,0,1,0
199000,2,84,0,0,15,0,84,2,0,2,0
735000,6,287,2,0,0,0,195,2,0,2,1
600000,5,300,2,0,20,190,290,2,0,4,10
255000,2,60,2,1,0,0,60,2,0,1,0
299000,2,80,2,0,5,0,80,2,0,2,0
207000,2,90,3,0,14,27,90,3,0,5,6
153000,1,33,1,0,0,0,33,2,0,1,0
390000,2,94,1,0,0,1,94,2,0,1,6
450000,2,157,2,0,26,300,444,4,0,1,3
150000,3,127,2,0,20,259,259,3,0,1,1
525000,4,230,3,0,6,120,200,2,0,5,1
185000,1,46,0,0,0,0,46,3,0,4,0
235000,2,90,2,0,8,0,90,2,0,2,0
1499000,7,600,3,0,0,0,10899,4,0,2,18
174000,4,150,3,0,35,0,252,4,0,5,9
170000,2,155,2,0,0,255,431,2,0,2,1
389000,5,230,2,0,15,340,817,3,0,2,1
269000,3,105,2,0,0,0,105,3,0,2,0
