Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property 
huy,"275,000",2,95,Installed,0,12,None,None,2,None,None,apartment
uccle,"285,000",2,92,None,0,11,None,None,2,None,To be done up,apartment
woluwe-saint-lambert,"485,000",3,115,None,0,None,None,None,None,0,As new,apartment
antwerp,"395,000",2,105,Installed,None,None,None,None,2,None,Just renovated,apartment
etterbeek,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
belsele,"3,750,000",5,362,Hyper equipped,0,None,6585,6585,4,0,As new,exceptional-property
montignies-sur-sambre,"149,000",2,132,Not installed,0,None,None,None,None,None,To renovate,apartment
braine-lalleud,"435,000",4,137,Installed,0,22,None,273,3,0,As new,house
tournai,"790,000",5,446,None,0,None,None,2457,4,1,None,house
bruxelles,"550,000",5,180,Installed,0,None,None,None,None,None,Good,house
izegem,"265,000",3,134,Installed,0,16,60,132,None,0,As new,house
liege,"395,000",4,190,Installed,0,55,375,570,3,0,Good,mansion
arlon,"185,000",1,70,Installed,0,None,None,None,2,None,Good,apartment
waremme,"257,000",3,159,None,0,57,None,157,2,None,Good,house
