Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property 
bruxelles,"470,000",2,122,USA hyper equipped,0,11,None,None,2,1,Good,apartment
evere,"307,000",2,90,Installed,0,19,None,None,4,0,As new,apartment
tielt,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
schaerbeek,"270,000",2,85,Hyper equipped,1,15,None,None,2,0,As new,apartment
auderghem,"349,000",2,100,Hyper equipped,0,4,None,None,2,0,Good,apartment
brussels-city,"245,000",2,70,Installed,1,None,None,None,3,None,None,apartment
liege,"799,000",4,250,Hyper equipped,0,19,None,None,None,0,As new,apartment
watermael-boitsfort,"995,000",5,270,USA hyper equipped,0,20,300,407,2,None,To be done up,house
etterbeek,"975,000",3,220,Hyper equipped,0,25,None,None,2,0,Just renovated,penthouse
antwerp,"767,000",3,201,USA hyper equipped,0,11,None,None,2,None,None,apartment
heverlee,"710,000",4,285,Installed,0,12,None,1092,4,0,Good,villa
grace-hollogne,"169,500",3,130,Installed,0,20,40,120,2,0,Good,house
boom,"525,000",5,None,None,0,65,None,159,2,None,None,apartment-block
jette,"240,000",2,None,USA semi equipped,0,None,None,None,2,0,To be done up,apartment
knokke-heist,"1,150,000",3,73,USA hyper equipped,0,None,None,None,2,0,Just renovated,apartment
beersel,"365,000",3,118,None,0,75,140,295,3,None,None,house
saint-josse-ten-noode,"399,000",2,192,Not installed,0,None,None,60,2,0,To be done up,mixed-use-building
evere,"249,000",2,98,Semi equipped,0,20,None,None,2,0,Good,apartment
eeklo,"259,000",2,120,None,0,None,None,None,3,0,Good,duplex
sint-andries,"270,000",1,84,Hyper equipped,0,None,None,None,None,0,As new,penthouse
burg-reuland,"187,000",4,184,None,0,None,None,1153,3,None,To be done up,house
vise,"199,000",2,89,Not installed,0,9,1750,None,2,0,As new,apartment
blankenberge,"1,141,300",2,111,Installed,0,46,None,None,None,None,None,apartment
waregem,"310,000",2,91,Hyper equipped,0,5,None,None,None,0,As new,apartment
wielsbeke,"950,000",5,380,Installed,0,None,None,3500,4,None,Good,other-property
oostende,"245,000",2,65,Installed,0,10,None,None,2,0,As new,apartment
izegem,"320,000",3,170,Installed,0,None,None,357,4,0,Good,house
woluwe-saint-lambert,"570,000",3,165,USA installed,0,10,50,121,2,None,As new,house
ixelles,"1,690,000",3,285,USA uninstalled,0,None,None,None,2,0,As new,apartment
dendermonde,"219,000",2,108,USA installed,None,None,None,147,4,None,Good,house
puurs-sint-amands,"406,000",3,162,Hyper equipped,None,None,None,426,3,None,As new,house
sint-niklaas,"629,000",4,220,Hyper equipped,0,None,None,945,4,None,Good,house
limal-wavre,"900,000",6,330,USA hyper equipped,0,50,6000,6614,4,1,As new,house
chardeneux,"450,000",4,175,Installed,1,16,1100,1100,None,None,As new,villa
schaerbeek,"365,000",3,139,None,0,None,None,135,3,0,None,house
braine-lalleud,"297,500",3,108,Installed,0,20,None,59,None,None,Good,house
oostende,"155,000",None,37,Installed,0,8,None,None,3,0,Good,flat-studio
ixelles,"3,950,000",5,580,Hyper equipped,None,None,None,340,2,None,As new,mansion
kortrijk,"315,000",3,275,Installed,0,None,None,140,None,None,Good,house
brussels,"215,000",1,45,Hyper equipped,1,1,1,None,1,0,Good,apartment
sterrebeek,"2,950,000",3,258,Hyper equipped,0,85,None,None,2,0,As new,penthouse
liege,"314,500",4,146,Not installed,0,5,None,5,None,None,Good,apartment-block
ixelles,"785,000",3,144,Hyper equipped,0,12,None,None,3,0,As new,apartment
bornem,"265,000",1,67,Installed,0,None,None,None,4,0,As new,apartment
gavere,"317,500",2,97,Hyper equipped,None,9,None,None,None,0,None,apartment
brussel,"255,000",None,37,Hyper equipped,0,None,None,None,2,None,As new,flat-studio
huy,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
gembloux,"325,000",4,154,Installed,0,10,None,712,3,None,Good,house
eernegem,"299,000",3,327,Installed,0,None,None,1037,4,None,Good,house
schaerbeek,"635,000",2,217,USA hyper equipped,0,40,None,None,None,0,Just renovated,loft
braine-lalleud,"2,850,000",6,900,None,None,None,None,3161,4,1,As new,villa
bruxelles,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
tienen,"249,000",3,140,None,0,None,None,None,3,None,To be done up,house
herzele,"429,000",3,160,Hyper equipped,0,None,60,183,None,None,As new,house
liege,"249,500",2,90,Installed,0,5,None,None,3,None,As new,apartment
luingne,"795,000",7,None,None,0,None,None,4432,4,None,Good,country-cottage
etterbeek,"595,000",3,220,Installed,0,None,80,147,2,0,To renovate,house
chenee,"164,000",3,80,None,None,7,None,None,2,None,Good,apartment
woluwe-saint-lambert,"2,495,000",6,460,Hyper equipped,None,48,None,561,2,None,As new,mansion
soignies,"191,000",2,86,Hyper equipped,0,7,None,None,4,None,As new,apartment
martelange,"160,000",2,114,None,0,None,None,295,3,None,None,house
merelbeke,"290,000",2,85,None,0,11,None,None,None,None,None,apartment-block
woluwe-saint-lambert,"165,000",None,25,Semi equipped,1,None,None,None,None,0,As new,flat-studio
ophasselt,"249,000",3,130,Installed,0,None,None,445,None,None,Good,house
flemalle-haute,"270,000",3,160,Not installed,0,12,528,None,4,None,None,penthouse
ixelles,"620,000",3,119,USA hyper equipped,0,20,None,None,2,0,As new,apartment
liege,"179,000",2,72,Semi equipped,None,None,None,None,2,None,To be done up,apartment
etterbeek,"695,000",3,216,Hyper equipped,0,10,None,None,2,0,To be done up,apartment
dinant,None,3,150,Installed,None,None,None,None,3,None,Good,penthouse
schaerbeek,"340,000",3,110,Hyper equipped,0,20,None,None,2,None,As new,apartment
sint-idesbald,"459,000",2,106,Installed,None,None,None,None,None,0,To be done up,penthouse
tubize,"235,000",2,100,Installed,0,None,None,None,None,None,Good,apartment
waarschoot,"198,000",2,84,Installed,0,None,None,None,None,0,As new,apartment
asse,"139,000",1,65,Installed,None,None,None,None,None,None,As new,apartment
braine-lalleud,"295,000",3,86,Installed,0,None,None,80,None,None,Good,house
brussels-city,"245,000",1,68,USA hyper equipped,0,3,None,None,2,None,As new,apartment
mouscron,"179,000",3,112,Installed,0,None,50,162,2,None,Just renovated,house
mechelen,"339,500",2,145,Hyper equipped,0,20,None,65,2,0,Just renovated,town-house
woluwe-saint-pierre,"1,450,000",5,390,None,0,None,336,473,3,0,None,house
nieuwpoort,"192,000",2,51,Installed,1,None,None,None,None,0,As new,apartment
namur,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
koekelberg,"215,000",2,97,Not installed,0,None,None,None,2,None,To renovate,apartment
court-saint-atienne,"475,000",3,250,Semi equipped,0,None,None,1720,4,None,Good,house
koksijde,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
erembodegem,"795,000",3,182,Hyper equipped,0,None,None,None,3,None,Good,penthouse
ixelles,"160,000",1,35,Installed,None,None,None,None,2,None,To be done up,apartment
saint-leger,"270,000",4,164,Installed,0,16,135,295,2,0,Good,house
uccle,"390,000",5,175,Installed,0,20,250,312,3,None,Good,house
vise,"249,000",3,116,Not installed,0,17,306,595,4,0,To be done up,house
asse-zellik,"225,000",1,76,Semi equipped,0,4,None,None,2,0,As new,apartment
dour,"59,000",3,106,None,0,None,None,67,None,None,To renovate,house
blankenberge,"499,000",4,163,Hyper equipped,0,11,None,None,None,0,Good,duplex
izegem,"249,500",3,140,Hyper equipped,0,6,None,None,None,0,As new,duplex
woluwe-saint-pierre,"475,000",2,100,Installed,None,None,None,None,2,0,As new,apartment
tisselt,"475,000",4,190,None,0,None,None,2790,4,None,To renovate,house
middelkerke,"439,000",3,250,Semi equipped,0,None,None,320,4,None,Good,house
ixelles,"339,000",2,70,None,None,None,None,None,None,None,As new,apartment
gent,"1,250,000",8,295,None,0,None,None,87,2,0,Good,apartment-block
chaumont-gistoux,"265,000",2,93,Installed,0,12,None,None,4,None,None,duplex
woluwe-saint-lambert,"249,000",1,64,Semi equipped,0,8,None,None,2,0,To be done up,apartment
waterloo,"745,000",4,248,Installed,0,28,None,708,4,None,As new,villa
knokke-heist,"795,000",3,100,Hyper equipped,0,None,None,None,2,0,As new,apartment
boom,"388,800",4,216,Hyper equipped,None,None,None,254,2,None,As new,town-house
geraardsbergen,"339,000",2,262,None,0,26,None,110,2,0,As new,mixed-use-building
brussels,"495,000",2,100,USA hyper equipped,1,12,None,None,2,0,Good,apartment
waregem,"345,000",3,300,Installed,0,None,None,412,3,None,Just renovated,house
antwerp,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
erpent,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
antwerpen,"345,000",3,129,Installed,0,1,None,None,2,0,As new,apartment
harelbeke,"309,000",2,80,Installed,0,10,None,None,None,None,None,apartment
uccle,"299,000",3,139,Not installed,0,None,None,None,None,None,None,apartment
ixelles,"240,000",1,70,Not installed,0,3,None,None,3,0,To renovate,apartment
blankenberge,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
lier,"285,000",2,71,Installed,None,10,None,None,None,0,As new,apartment
welkenraedt,"229,000",3,165,Installed,0,20,100,230,None,None,Good,house
wavre,"450,000",3,150,Installed,None,40,None,1050,4,None,To renovate,villa
bruxelles,"429,000",3,110,Installed,None,5,None,None,2,0,Good,apartment
sint-pieters-leeuw,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
courcelles,"179,000",2,150,Semi equipped,0,20,450,551,3,0,Good,house
liege,"629,500",8,292,Not installed,0,5,None,None,None,None,Good,apartment
ninane,"379,000",4,180,Installed,None,None,2050,2114,4,0,Good,villa
aywaille,"209,000",5,208,Semi equipped,0,117,None,209,3,0,To renovate,mixed-use-building
woluwe-saint-lambert,"677,000",3,171,USA hyper equipped,0,16,None,None,2,0,As new,penthouse
fleron,"415,000",4,315,None,None,None,None,484,2,None,Good,mixed-use-building
leuven-kessel-lo,"349,000",3,100,Semi equipped,None,8,None,125,2,None,To be done up,house
ans,"211,000",2,119,Installed,0,13,None,None,None,None,None,apartment
berchem-sainte-agathe,"775,000",4,242,Hyper equipped,0,39,107,686,4,1,Good,villa
ixelles,"725,000",3,171,USA hyper equipped,1,40,None,None,None,0,As new,duplex
ixelles,"1,375,000",6,427,Hyper equipped,0,50,300,508,3,None,As new,house
schilde,"2,450,000",4,614,Hyper equipped,0,66,3617,3904,4,None,Just renovated,villa
saint-gilles,"610,000",3,165,Installed,1,None,None,None,2,0,As new,apartment
ottignies-louvain-la-neuve-ottignies,"370,000",2,101,None,0,29,161,None,2,None,None,ground-floor
zele,"630,000",5,432,Installed,0,None,88,311,2,None,Good,mansion
torhout,"299,000",2,147,Installed,0,None,None,227,3,None,Good,house
putte,"325,000",2,101,Installed,0,18,None,None,None,None,As new,penthouse
bas-oha,"299,000",2,142,Installed,0,15,None,258,2,None,None,house
woluwe-saint-lambert,"465,000",3,114,USA installed,0,6,None,None,3,0,As new,duplex
kortrijk,"2,650,000",10,None,USA semi equipped,0,None,7254,7254,4,0,Good,house
sint-andries,"339,000",2,104,Installed,0,None,None,None,2,0,As new,apartment
zwalm,"800,000",2,None,None,None,None,None,1800,4,0,As new,house
gent,"265,000",2,75,Not installed,0,None,None,None,2,None,None,apartment
uccle,"1,990,000",3,241,Hyper equipped,0,169,None,None,3,0,As new,penthouse
arendonk,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
kapellen,"306,500",4,162,Installed,0,24,102,199,2,0,Good,town-house
mechelen,"279,000",3,72,Installed,0,12,None,None,None,0,Good,apartment
westende,"85,000",1,25,None,1,None,None,None,None,None,As new,apartment
koksijde,"250,000",1,61,Hyper equipped,0,None,None,None,None,0,As new,apartment
honnelles-montignies-sur-roc,"380,000",3,161,Installed,None,None,None,774,4,None,As new,villa
gistel,"248,000",2,92,Hyper equipped,0,13,None,None,None,None,As new,apartment
ninove,"669,000",4,380,Installed,0,21,None,915,4,0,As new,villa
genappe,"345,000",5,207,Installed,0,17,None,303,None,None,Good,house
beyne-heusay,"149,000",3,125,None,0,33,109,165,2,0,None,house
gent,"384,500",2,95,None,0,41,None,None,None,0,None,apartment
woluwe-saint-lambert,"648,000",3,169,Hyper equipped,0,18,None,None,2,0,As new,duplex
liege,"265,000",2,115,Hyper equipped,0,13,None,None,None,None,Good,apartment
tavier,None,7,310,Installed,None,None,None,2821,4,None,To renovate,house
schaerbeek,"349,000",2,130,Hyper equipped,0,56,None,None,2,0,As new,penthouse
oostende,"249,000",3,105,Installed,0,None,None,None,None,0,As new,apartment
waterloo,"895,000",4,287,Installed,0,None,None,1501,4,None,None,villa
puurs,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
dilbeek,"310,866",2,100,Hyper equipped,0,None,None,None,4,0,As new,apartment
forest,"295,000",2,105,Installed,0,6,None,None,2,0,To renovate,apartment
gent,"298,000",2,88,Hyper equipped,0,None,None,None,3,0,As new,apartment
h(c)l(c)cine,"149,000",2,83,Semi equipped,0,None,70,140,3,0,To be done up,house
beersel,"645,000",3,200,Installed,0,None,None,275,3,None,Just renovated,house
brussels-city,"130,000",1,46,USA hyper equipped,0,6,None,None,2,None,As new,apartment
ixelles,"370,000",1,89,USA installed,None,None,None,None,2,0,Good,apartment
evere,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
jette,"189,000",2,80,Not installed,0,12,None,None,4,0,Good,apartment
uccle,"1,890,000",4,330,Hyper equipped,None,40,None,1117,4,None,As new,villa
lier,"395,000",5,None,Installed,0,None,None,94,2,0,Just renovated,house
oostende,"229,000",2,70,Installed,0,None,None,None,2,0,Good,apartment
vilvoorde,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
leval-trahegnies,"175,000",3,136,Installed,0,None,None,230,3,None,Just renovated,house
halle,"799,000",2,650,Installed,0,None,None,1513,4,None,To be done up,mixed-use-building
rochefort,"275,000",5,150,Semi equipped,0,None,None,1102,4,None,Good,house
veldegem,"429,000",4,158,Hyper equipped,0,None,None,324,None,None,As new,house
saint-ghislain,"249,000",4,221,Semi equipped,0,None,None,648,3,None,To be done up,house
tienen,"235,000",4,157,None,0,50,48,105,2,0,Good,house
sint-niklaas,"379,000",5,245,Installed,0,20,None,260,2,None,Just renovated,house
kapellen,"5,850,000",5,1130,Hyper equipped,0,None,9000,9312,4,1,As new,house
genappe,"299,000",3,117,Semi equipped,0,17,None,520,3,0,Just renovated,house
blankenberge,"205,000",3,83,Hyper equipped,0,None,None,None,None,0,Good,apartment
grez-doiceau,"1,775,000",4,450,None,None,50,None,5379,4,1,Just renovated,villa
mariakerke,"210,000",3,110,Semi equipped,0,None,None,233,3,None,To renovate,house
gent,"299,000",2,None,Semi equipped,0,None,None,43,2,None,To renovate,house
saint-gilles,"250,000",1,64,Installed,0,None,None,None,None,0,Good,apartment
rochefort,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
ninove,"289,000",4,129,Installed,0,None,None,160,3,None,Good,house
stree,"329,000",4,199,None,0,None,None,1817,None,None,None,house
saint-josse-ten-noode,"279,000",2,80,Semi equipped,0,4,None,None,4,None,Just renovated,apartment
beersel,"340,000",3,115,Semi equipped,0,None,None,585,None,0,To be done up,house
brussels-city,"410,000",2,96,Installed,0,19,None,None,4,0,As new,apartment
arlon,"520,000",5,297,Hyper equipped,0,None,None,1010,3,None,As new,house
ampsin,"370,000",6,280,Semi equipped,0,None,None,557,None,None,Good,house
hastiere,"95,000",2,66,Hyper equipped,1,18,None,18,2,None,Good,house
antwerp,"925,000",4,398,Installed,0,None,None,96,2,None,Good,mansion
temse,"499,000",5,230,Installed,None,None,None,818,None,None,To be done up,villa
woluwe-saint-lambert,"249,000",2,75,Installed,0,16,None,None,2,0,Good,apartment
virton,"200,000",2,152,Not installed,0,None,None,95,2,None,To renovate,apartment-block
lasne-(couture-saint-germain),"500,000",2,130,USA hyper equipped,0,None,None,1580,4,0,Good,house
gent,"219,000",2,65,Installed,0,3,None,None,2,None,Good,apartment
schaerbeek,"335,000",2,96,USA hyper equipped,0,2,None,None,2,0,Just renovated,apartment
kruisem,"298,000",2,116,Installed,None,12,28,None,None,0,As new,apartment
jambes,"142,000",2,74,None,0,None,None,155,2,None,To be done up,house
blanmont,"400,000",4,155,Hyper equipped,0,None,None,952,4,1,Good,house
ixelles,"695,000",3,166,USA hyper equipped,0,2,None,None,2,0,Just renovated,apartment
bruxelles,"245,000",None,42,USA hyper equipped,None,None,None,None,None,0,As new,flat-studio
halle,"329,000",4,175,Installed,None,None,None,450,None,0,As new,house
ixelles,"775,000",2,150,USA hyper equipped,0,17,80,None,2,0,As new,duplex
uccle,"745,000",4,185,Hyper equipped,0,7,None,None,2,1,Good,apartment
tienen,"175,000",2,115,None,0,40,260,376,3,0,To renovate,house
liege,"186,000",2,78,None,0,None,None,None,3,None,None,apartment
anderlecht,"270,000",3,100,None,0,None,None,None,2,0,To be done up,apartment
uccle,"1,800,000",2,396,Installed,0,95,1000,None,None,1,As new,apartment
beveren-ad-ijzer,"249,000",4,136,Hyper equipped,0,45,110,306,None,None,As new,house
wavre,"300,000",2,96,USA installed,0,10,146,None,2,0,As new,ground-floor
cerfontaine,"360,000",6,None,Installed,0,None,729,976,3,None,Good,villa
woluwe-saint-lambert,"1,850,000",5,525,Installed,None,None,None,673,2,None,As new,mansion
manage,"149,000",1,75,Semi equipped,0,35,350,None,2,0,As new,ground-floor
bredene,"529,500",3,None,Installed,None,55,None,None,None,0,As new,apartment
rhode-st-genese,"950,000",4,250,Hyper equipped,None,50,900,1147,4,None,As new,villa
bruxelles,"230,000",2,80,Semi equipped,0,None,None,None,2,None,Good,apartment
rotselaar,"675,000",5,376,None,0,25,1000,1761,None,1,Good,mixed-use-building
kortemark,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
mont-saint-guibert,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
lichtervelde,"209,000",2,75,Installed,0,None,None,None,2,None,Good,apartment
tienen,"279,000",4,180,Semi equipped,0,10,260,315,2,None,To be done up,house
liege,"179,500",3,80,Installed,1,None,None,None,None,None,As new,house
esneux,"125,000",3,145,Not installed,0,15,405,490,3,None,To renovate,house
ixelles,"410,000",2,95,Installed,0,4,None,None,2,0,Good,apartment
wevelgem,"225,000",4,136,Semi equipped,0,None,None,448,None,None,Good,house
kooigem,"319,000",3,208,Installed,0,None,None,956,None,None,Good,house
havelange,"275,000",5,200,Installed,0,40,920,920,None,None,Good,house
etterbeek,"1,150,000",4,260,USA installed,None,None,None,None,2,0,As new,mixed-use-building
ixelles,"495,000",2,101,Hyper equipped,0,2,None,None,2,0,As new,penthouse
beersel,"495,000",2,220,Installed,0,None,None,None,2,0,As new,loft
de-haan,"1,595,000",5,339,Installed,0,50,700,938,4,0,None,villa
uccle,"440,000",2,110,None,None,None,None,None,4,None,As new,apartment
corroy-le-grand,"130,000",1,34,Semi equipped,0,None,None,None,3,None,Good,apartment
vilvoorde,"199,000",1,55,USA installed,0,25,None,None,2,0,Good,apartment
tielt,"475,000",3,242,Installed,0,32,None,910,None,None,None,house
gent,"550,000",3,250,Installed,0,60,400,1000,3,0,Just renovated,house
roux,"279,000",3,190,Installed,0,None,750,895,4,0,As new,villa
verlaine,"799,000",4,473,Hyper equipped,0,20,160,575,None,1,As new,farmhouse
liedekerke,"365,000",4,200,Hyper equipped,0,8,70,154,2,0,As new,town-house
ixelles,"199,000",None,35,None,None,None,None,None,2,None,As new,flat-studio
schaerbeek,"189,000",2,65,Semi equipped,0,None,None,None,None,None,To be done up,apartment
heist-op-den-berg,"299,000",3,137,Installed,0,None,280,789,4,None,To be done up,house
walhain,"415,000",3,252,Installed,None,None,582,582,2,0,As new,house
mechelen,"239,000",3,120,None,0,None,None,68,2,0,To be done up,house
beersel,"315,000",4,133,Semi equipped,0,None,40,157,3,None,To renovate,house
gent,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
tournai,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
ronse,"139,500",2,140,Semi equipped,0,None,None,50,3,None,To be done up,house
de-haan,"199,000",2,61,Installed,0,None,None,203,3,None,Good,house
braine-lalleud,"357,150",2,120,USA hyper equipped,None,20,265,None,None,None,As new,apartment
bruxelles,"205,000",None,40,Hyper equipped,1,4,None,None,2,None,As new,flat-studio
uccle,"477,000",3,151,Hyper equipped,0,24,62,None,4,0,As new,apartment
schaerbeek,"229,000",1,75,USA hyper equipped,0,None,1000,None,2,0,Good,duplex
bredene,"355,000",3,184,USA hyper equipped,0,20,50,161,2,0,As new,house
bruxelles,"550,000",3,362,None,0,None,None,None,2,0,None,loft
knokke-heist,"1,695,000",3,None,None,0,None,None,None,None,0,As new,apartment
zwalm,"490,000",4,280,Installed,0,None,None,1868,None,0,As new,villa
ixelles,"499,000",2,93,USA hyper equipped,0,5,None,None,2,0,As new,apartment
dworp,"899,000",4,358,Hyper equipped,0,None,None,1409,4,None,Good,house
laeken,"149,000",1,65,Installed,None,13,None,None,None,0,To be done up,apartment
geraardsbergen,"249,000",3,170,None,None,None,None,653,3,None,Good,house
brugge-assebroek,"419,000",4,218,Semi equipped,0,None,None,351,3,None,As new,house
waregem,"423,700",2,123,Installed,0,33,None,None,4,None,None,apartment
ledeberg,"299,000",3,92,Hyper equipped,0,6,None,46,2,0,As new,house
wepion,"329,000",4,180,Installed,0,None,None,1872,4,None,To renovate,house
waterloo,"395,000",3,182,Hyper equipped,0,29,None,131,None,None,As new,house
grivegnee,"119,000",1,118,Semi equipped,0,None,50,125,2,None,Good,house
roksem,"285,000",2,145,Installed,0,4,None,None,3,None,Good,apartment
wavre,"399,000",2,131,USA hyper equipped,0,22,22,None,2,0,As new,apartment
pellaines,"215,000",3,144,Semi equipped,0,10,232,376,2,0,Good,house
aalter,"669,000",5,320,Hyper equipped,0,None,None,841,4,0,As new,villa
ixelles,"975,000",3,166,Hyper equipped,0,7,None,None,2,None,As new,apartment
anderlecht,"210,000",2,85,Installed,0,None,None,None,2,None,Good,apartment
blankenberge,"299,000",2,160,Hyper equipped,0,None,None,None,None,None,As new,ground-floor
uccle,"1,950,000",4,320,Hyper equipped,None,110,1150,None,4,None,As new,ground-floor
liege,"275,000",2,91,Not installed,0,10,None,612,3,0,Good,apartment-block
geraardsbergen,"435,000",3,350,USA installed,None,None,None,1765,4,None,Good,house
liege,"175,000",2,99,None,None,7,None,None,2,None,As new,apartment
arlon,"525,000",4,270,None,None,None,None,350,2,None,Good,mansion
morlanwelz-mariemont,"230,000",6,275,Installed,0,20,80,300,2,None,To renovate,apartment-block
vilvoorde,"540,000",2,180,USA installed,0,27,470,560,4,0,As new,villa
dison,"279,500",4,188,Hyper equipped,0,32,170,500,4,0,Good,bungalow
braine-lalleud-ophain-bois-seigneur-isaac,"750,000",6,247,Installed,0,30,1300,1601,4,0,As new,villa
oudenaarde,"419,000",2,94,None,0,39,None,None,2,0,As new,apartment
antwerpen,"290,000",2,90,None,0,None,None,None,2,0,As new,apartment
ixelles,"525,000",2,91,USA hyper equipped,0,5,None,None,2,0,Just renovated,apartment
kruisem,"295,708",2,108,Installed,None,17,None,None,None,0,As new,apartment
nieuwpoort,"600,000",3,131,Not installed,0,6,None,None,2,None,None,apartment
kortrijk,"180,000",2,90,Hyper equipped,0,None,None,None,None,0,As new,apartment
vilvoorde,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
chatelet-chatelineau,"189,000",2,110,Installed,0,None,None,668,3,0,To renovate,house
la-louviere,"149,000",2,70,Installed,0,7,None,None,2,0,Good,apartment
tournai,"116,000",1,50,Installed,0,3,None,None,2,0,As new,apartment
wezembeek-oppem,"235,000",1,67,Semi equipped,0,14,None,None,None,None,None,apartment
gent,"795,000",6,130,Installed,1,None,None,59,3,None,Just renovated,apartment-block
heure,"108,000",2,56,Installed,0,None,None,66,None,None,Good,country-cottage
molenbeek-saint-jean,"295,000",2,100,USA hyper equipped,0,None,None,None,3,0,Just renovated,apartment
malderen,"295,000",10,404,Semi equipped,0,None,None,207,3,None,To renovate,house
oedelem,"230,000",3,105,None,0,5,None,None,2,0,Good,apartment
alsemberg,"100,000",1,41,Hyper equipped,0,3,None,None,None,None,As new,service-flat
profondeville,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
ixelles,"405,000",2,115,Installed,None,None,None,None,2,None,As new,apartment
sinaai-waas,"159,000",2,106,None,0,None,22,107,2,0,Good,house
antwerp,"335,000",2,94,Hyper equipped,0,8,None,None,None,0,As new,apartment
neder-over-heembeek,"249,000",2,82,USA hyper equipped,0,7,None,None,2,None,Good,apartment
steenokkerzeel,"395,000",6,396,Semi equipped,0,None,600,719,None,None,To be done up,mansion
marche-en-famenne,"320,000",5,None,None,0,None,None,1162,4,None,None,house
bruxelles,"850,000",5,283,Hyper equipped,0,10,None,76,2,0,As new,exceptional-property
saint-hubert,"195,000",5,184,Semi equipped,0,26,None,None,2,None,Just renovated,house
ronse,"178,000",3,250,Semi equipped,0,None,None,220,2,None,To renovate,house
liege,"412,300",2,125,Not installed,0,59,None,None,4,0,As new,penthouse
izegem,"160,000",4,169,Semi equipped,0,None,None,320,None,None,To be done up,house
ingelmunster,"299,000",3,139,Installed,0,10,50,139,2,0,Just renovated,house
beveren-leie,"225,000",3,130,Installed,0,None,215,295,None,None,Good,house
overijse,"950,000",6,351,Hyper equipped,0,None,500,1056,4,0,Good,villa
scherpenheuvel-zichem,"329,000",2,137,None,0,None,None,400,3,None,Just renovated,house
fosses-la-ville,"219,000",4,192,Semi equipped,0,None,None,None,3,None,Just renovated,house
ixelles,"1,900,000",3,285,USA hyper equipped,0,59,None,None,None,0,As new,penthouse
westende,"294,000",2,102,Installed,None,None,None,None,None,0,None,duplex
la-louviere,"85,000",2,65,Not installed,0,10,None,None,4,None,To renovate,apartment
uccle,"675,000",3,118,USA hyper equipped,None,24,220,None,None,0,As new,apartment
wanze,"140,000",3,130,Not installed,0,None,None,500,3,None,To renovate,house
gavere,"249,000",1,76,Hyper equipped,None,10,None,None,None,0,None,apartment
erpe-mere,"289,000",3,153,Installed,None,None,None,274,None,0,As new,house
mouscron,"159,000",2,150,Semi equipped,0,10,158,225,2,None,Good,house
tilleur,"99,500",2,90,None,0,None,72,None,2,None,None,house
westerlo,"287,200",3,128,USA hyper equipped,0,12,None,None,2,None,None,apartment
sterrebeek,"620,000",2,139,Hyper equipped,None,19,None,None,3,None,As new,apartment
drogenbos,"469,000",3,129,USA installed,0,10,None,None,3,0,As new,duplex
lokeren,"322,000",3,129,Hyper equipped,0,None,None,None,2,None,None,apartment
borsu,"485,000",9,380,Semi equipped,0,None,None,None,None,None,Good,house
antwerp,"232,900",3,115,Installed,0,4,None,None,2,None,Good,apartment
frasnes-lez-buissenal,"535,000",3,224,Installed,0,None,None,750,4,None,Good,country-cottage
brugge,"720,000",1,60,Semi equipped,0,None,None,3830,None,None,To be done up,house
herstal,"59,000",1,65,Semi equipped,0,9,None,49,2,None,None,house
willebroek,"200,000",2,102,None,0,None,None,None,2,None,Good,apartment
geer-hollognesur-geer,"175,000",4,239,Semi equipped,0,27,1050,1250,3,0,To renovate,house
braine-lalleud,"279,000",3,98,Installed,0,None,None,None,None,0,Good,apartment
braine-lalleud,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
kapellen,"4,850,000",9,1600,USA hyper equipped,0,None,None,6335,4,1,As new,house
schendelbeke,"415,000",4,None,Installed,None,None,None,288,None,0,As new,house
arlon,"230,000",3,103,None,0,None,None,None,3,0,None,apartment
wenduine,"199,000",1,45,Installed,1,None,None,None,None,None,Good,apartment
wondelgem,"255,000",2,66,Installed,None,None,None,None,None,0,As new,apartment
merchtem,"225,000",2,74,Installed,0,None,None,None,2,0,Good,apartment
